images,labels
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00001.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00001.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00002.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00002.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00003.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00003.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00004.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00004.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00005.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00005.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00006.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00006.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00007.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00007.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00008.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00008.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00009.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00009.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00010.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00010.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00011.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00011.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00012.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00012.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00013.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00013.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00014.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00014.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00015.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00015.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00016.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00016.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00017.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00017.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00018.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00018.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00019.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00019.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00020.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00020.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00021.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00021.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00022.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00022.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00023.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00023.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00024.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00024.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00025.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00025.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00026.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00026.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00027.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00027.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00028.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00028.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00029.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00029.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00030.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00030.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00031.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00031.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00032.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00032.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00033.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00033.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00034.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00034.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00035.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00035.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00036.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00036.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00037.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00037.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00038.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00038.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00039.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00039.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00040.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00040.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00041.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00041.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00042.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00042.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00043.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00043.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00044.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00044.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00045.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00045.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00046.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00046.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00047.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00047.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00048.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00048.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00049.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00049.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00050.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00050.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00051.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00051.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00052.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00052.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00053.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00053.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00054.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00054.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00055.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00055.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00056.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00056.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00057.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00057.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00058.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00058.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00059.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00059.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00060.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00060.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00061.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00061.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00062.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00062.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00063.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00063.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00064.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00064.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00065.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00065.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00066.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00066.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00067.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00067.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00068.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00068.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00069.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00069.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00070.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00070.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00071.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00071.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00072.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00072.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00073.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00073.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00074.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00074.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00075.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00075.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00076.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00076.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00077.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00077.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00078.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00078.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00079.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00079.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00080.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00080.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00081.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00081.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00082.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00082.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00083.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00083.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00084.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00084.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00085.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00085.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00086.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00086.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00087.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00087.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00088.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00088.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00089.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00089.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00090.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00090.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00091.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00091.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00092.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00092.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00093.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00093.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00094.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00094.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00095.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00095.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00096.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00096.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00097.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00097.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00098.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00098.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00099.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00099.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00100.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_00100.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10001.JPG,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10001.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10002.JPG,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10002.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10003.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10003.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10004.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10004.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10005.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10005.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10101.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10101.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10102.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10102.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10103.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10103.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10104.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10104.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10105.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10105.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10106.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10106.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10107.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10107.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10108.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10108.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10109.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10109.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10110.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10110.resaved.jpg,0
E:/Summer 2020 Project/casia-dataset/CASIA2/COMMON/Au_ani_10111.jpg,0
